08:23:03.748 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.prjapitrans.PrjapitransApplicationTests], using SpringBootContextLoader
08:23:03.756 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.prjapitrans.PrjapitransApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
08:23:03.757 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.prjapitrans.PrjapitransApplicationTests]: PrjapitransApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
08:23:03.900 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.prjapitrans.PrjapitransApplication for test class com.prjapitrans.PrjapitransApplicationTests
08:23:04.006 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
08:23:04.034 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6dd7b5a3, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6f3187b0, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2663e964, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@48b67364, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@189cbd7c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7bf3a5d8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@42e25b0b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@39b43d60, org.springframework.test.context.event.EventPublishingTestExecutionListener@44be0077, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2205a05d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@72ef8d15, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6aa8e115, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5e21e98f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51a9ad5e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5f20155b]
08:23:04.365 [main] INFO  c.p.PrjapitransApplicationTests - Starting PrjapitransApplicationTests using Java 1.8.0_401 on RafaelValverdeP with PID 20524 (started by RafaelValverde in C:\Projetos\Java\prjapitrans)
08:23:04.367 [main] INFO  c.p.PrjapitransApplicationTests - No active profile set, falling back to default profiles: default
08:23:05.281 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
08:23:05.563 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 259 ms. Found 1 JPA repository interfaces.
08:23:06.361 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
08:23:08.179 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
08:23:11.761 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
08:23:12.748 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
08:23:13.688 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
08:23:13.747 [main] INFO  c.p.PrjapitransApplicationTests - Started PrjapitransApplicationTests in 9.67 seconds (JVM running for 11.193)
08:23:13.988 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
08:23:13.992 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
08:23:14.060 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
08:23:27.328 [main] INFO  c.prjapitrans.PrjapitransApplication - Starting PrjapitransApplication using Java 1.8.0_401 on RafaelValverdeP with PID 15392 (C:\Projetos\Java\prjapitrans\target\classes started by RafaelValverde in C:\Projetos\Java\prjapitrans)
08:23:27.330 [main] INFO  c.prjapitrans.PrjapitransApplication - No active profile set, falling back to default profiles: default
08:23:27.934 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
08:23:27.981 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40 ms. Found 1 JPA repository interfaces.
08:23:28.739 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
08:23:28.750 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
08:23:28.751 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
08:23:28.752 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.52]
08:23:28.852 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
08:23:28.852 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1490 ms
08:23:29.051 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
08:23:29.976 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
08:23:33.695 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
08:23:34.014 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
08:23:34.319 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
08:23:34.357 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
08:23:34.399 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
08:23:34.415 [main] INFO  c.prjapitrans.PrjapitransApplication - Started PrjapitransApplication in 7.356 seconds (JVM running for 7.78)
08:23:41.860 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
08:23:41.860 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
08:23:41.864 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
